customer_id,customer_name,gender,age,country,city,registration_date,acquisition_channel
1,Martin Davidson,Female,46,USA,Lake Savannahfort,2024-11-27,Email
2,William Rivera,Other,21,UAE,Kennethville,2023-12-25,Referral
3,Trevor Shepard,Male,49,India,Christopherside,2024-04-24,Referral
4,Victor Summers,Other,19,India,New Johnberg,2024-10-18,Social
5,Daniel Porter,Other,18,UAE,Lake Robinborough,2023-02-09,Ads
6,John King,Female,44,Canada,North Maryport,2024-01-18,Organic
7,Thomas Moore,Male,55,India,West Dawntown,2023-10-07,Referral
8,Latoya Lopez,Other,27,USA,East Phillipberg,2023-09-18,Organic
9,Kenneth Fernandez,Male,32,Canada,Port Kimberlyland,2024-11-23,Ads
10,Robert Morrow,Male,58,UAE,Ramseyport,2023-04-10,Social
11,Bruce Burns,Female,33,India,Port Scottmouth,2024-03-04,Social
12,James Kramer,Other,44,Canada,Gomezville,2024-04-13,Referral
13,Stacy Werner,Female,46,India,South Jonhaven,2024-12-22,Ads
14,Michael Williams,Male,48,India,Robertview,2024-09-17,Referral
15,Katie Hess,Other,44,India,Port Kyleshire,2024-10-27,Ads
16,Julie Price,Other,37,USA,South Samuel,2024-10-15,Ads
17,Mary Norris,Other,54,Canada,East Sean,2024-08-11,Social
18,Laurie Grant,Other,41,India,Ashleyville,2024-01-31,Email
19,Mr. Robert George,Male,27,India,Alexberg,2024-11-28,Email
20,Ryan Jones,Female,32,India,Weberport,2023-02-06,Email
21,Sarah Soto,Other,19,USA,Lake Paulborough,2023-08-04,Social
22,David Rodriguez,Female,41,Canada,Port Bryan,2024-12-23,Social
23,Ralph Smith,Female,37,Canada,West William,2024-07-05,Social
24,Katherine Perry,Male,54,UK,Lake Ryan,2024-09-24,Email
25,Julie Harris,Female,45,Canada,Port Mike,2024-06-11,Ads
26,Daniel Brooks,Male,55,Canada,Perkinsberg,2023-07-24,Social
27,Christina Carpenter,Female,19,India,Morrisonton,2023-05-03,Organic
28,Jennifer Webb,Male,46,USA,East Anthonymouth,2024-05-30,Email
29,Dawn Luna,Other,49,Canada,West Amberport,2024-04-24,Ads
30,Angela Hughes,Female,32,UAE,Port Aaron,2023-03-31,Organic
31,Briana Stafford,Male,27,UAE,South Sarah,2023-10-02,Organic
